"File exported from UTC Confirmations Portal on December 14, 2018, 14:00 EST"

Supplier Code:,0000164499
Supplier Name:,TRIPLE INC
User Email:,pkarchner@tripleinc.com
* Date Format MM/DD/YYYY

** INSTRUCTIONS:,"Please only edit Columns K-M below ""row 12"". All columns must be present and do not duplicate or delete columns. Only ""rows 10"" and above may be removed. Additional columns will be ignored as long as they don't duplicate a required column header. Naming of the column header row cannot be modified. The ordering of columns is flexible. When importing your file back into the Confirmations screen, please make sure all cells have a value matching the exported format. Date format can be MM/DD/YYYY, MM/DD/YY, M/D/YY."
** REASON CODES:,Capacity Issue,Import/ Export Control,Input Material (Vendor Supplied),Machine Down Time,Producibility Technical,Quality,Supplier Other,Natural Disaster,Commercial Issues  (Ex: PO terms/pricing),UTC Supplied Input Material,UTC Receiving/ Shipping,UTC Schedule under lead time / change,UTC Transportation / Logistics,UTC Engineering,UTC Other

PRIORITY,PRODUCT_ID,OPEN_QTY,ORDER_ID,ITEM_ID,SCH_LINE,LOCATION,REQ_DATE,OTD_DATE,COMMIT_STAT,COMMIT_DATE,REASON_CODE,COMMENTS
Priority,Part #,Open Qty.,Order #,Item #,Schedule Line,Location,Request Date,OTD Date,Commit Status,Commit Date,Reason Code,Comments

OVERDUE,819698-101,1.0,0010676503,60,1,2701,11/20/2018,12/14/2018,CHANGED,12/14/2018,Supplier Other,DELAYS AT OUTSIDE SUPPLIERS
,819698-101,4.0,0010676503,90,1,2701,04/17/2019,04/17/2019,COMMITTED,04/17/2019,UTC Schedule under lead time / change,
,819698-101,4.0,0010676503,100,1,2701,05/22/2019,05/22/2019,COMMITTED,05/22/2019,UTC Schedule under lead time / change,
OVERDUE,819698-101,4.0,0010676503,70,1,2701,11/29/2018,12/14/2018,COMMITTED,12/14/2018,Supplier Other,Outside Process delays
OVERDUE,819698-101,4.0,0010676503,80,1,2701,12/13/2018,12/13/2018,COMMITTED,02/17/2019,UTC Schedule under lead time / change,ult pull in
OVERDUE,792141-1,6.0,0011088436,10,1,2710,10/24/2018,10/24/2018,COMMITTED,12/17/2018,Supplier Other,Outside Process delays
OVERDUE,738104-1,1.0,0010918213,10,1,2701,11/12/2018,01/07/2019,COMMITTED,01/07/2019,Supplier Other,Outside Process delays
OVERDUE,1022362-3,14.0,0009706991,20,1,2719,09/30/2018,09/30/2018,UNCOMMITTED,,,
,1020956-1,1.0,0009708069,20,1,2701,01/14/2019,01/14/2019,COMMITTED,01/14/2019,UTC Schedule under lead time / change,
